text,priority
There is scorched outlet in the block A.,EMERGENCY
Please attend to mold on the wall in the bedroom.,MEDIUM
We have a problem: loose live wires near the entrance.,EMERGENCY
Need help with smoke in on the third floor.,EMERGENCY
Noticed not cooling in the garage.,MEDIUM
Noticed not heating in the bathroom.,MEDIUM
thermostat not working has been going on on the third floor.,MEDIUM
There is an issue with electrical spark by the stairs.,EMERGENCY
We have a problem: unsafe wiring in the block A.,HIGH
Tenant reports major leak in the kitchen.,HIGH
light not working has been going on in the block A.,MEDIUM
There is an issue with no electricity in the block B.,HIGH
Tenant reports mold on the wall in the unit.,MEDIUM
There is an issue with heavy leak near the entrance.,HIGH
water shut off has been going on in the unit 12.,HIGH
Tenant reports inventory check near the entrance.,LOW
Please attend to the ceiling is caving in in the bedroom.,EMERGENCY
Noticed fridge broke down in the bathroom.,HIGH
Please attend to thermostat not working in the apartment 5.,MEDIUM
broken door has been going on in the hallway.,HIGH
There is smoke in in the unit.,EMERGENCY
Complaint: broken window in the bedroom.,HIGH
Complaint: smoke coming from in the unit.,EMERGENCY
There is electrical hazard in the unit.,HIGH
Reporting noisy unit from in the unit.,MEDIUM
We have a problem: raw sewage in the block B.,EMERGENCY
There is an issue with clogged drain on the third floor.,MEDIUM
We have a problem: the unit is burning near the entrance.,EMERGENCY
Tenant reports not cooling on the third floor.,MEDIUM
There is gas smell in the apartment 5.,EMERGENCY
Complaint: intruder in the building by the stairs.,HIGH
loose live wires has been going on near the entrance.,EMERGENCY
Reporting slow drain from in the block B.,MEDIUM
Complaint: preventative maintenance in the unit 12.,LOW
Complaint: sparking wires in the bedroom.,EMERGENCY
Reporting thermostat not working from in the apartment 5.,MEDIUM
Please attend to smoke coming from in the unit.,EMERGENCY
Need help with dripping tap on the third floor.,MEDIUM
intruder in the building has been going on by the stairs.,HIGH
slow drain has been going on in the bedroom.,MEDIUM
Please attend to toilet clogged in the lobby.,MEDIUM
There is an issue with paint peeling near the entrance.,LOW
Complaint: dangerous in the unit 12.,HIGH
Tenant reports maintenance required on the third floor.,MEDIUM
We have a problem: electrical hazard in the balcony.,HIGH
collapsing wall has been going on near the entrance.,EMERGENCY
Need help with dangerous near the entrance.,HIGH
inventory check has been going on in the unit.,LOW
There is general enquiry in the store room.,LOW
There is an issue with the ceiling is caving in in the kitchen.,EMERGENCY
Tenant reports seeking a quote in the unit.,LOW
We have a problem: fridge broke down in the store room.,HIGH
Tenant reports not heating in the unit 8.,MEDIUM
Noticed entire unit without power in the bathroom.,HIGH
Need help with carbon monoxide detector going off by the stairs.,EMERGENCY
Tenant reports mold on the wall on the third floor.,MEDIUM
Tenant reports sewage overflowing in the bathroom.,EMERGENCY
Tenant reports major leak near the entrance.,HIGH
There is an issue with leak under the sink near the entrance.,MEDIUM
Tenant reports seeking a quote by the stairs.,LOW
We have a problem: carbon monoxide detector going off in the block B.,EMERGENCY
Reporting scorched outlet from in the balcony.,EMERGENCY
Please attend to burning smell near the entrance.,EMERGENCY
Complaint: the ceiling is caving in in the bathroom.,EMERGENCY
Reporting routine check from near the entrance.,LOW
Noticed leaking ceiling in the unit 12.,HIGH
Need help with crack in the wall in the unit 8.,MEDIUM
Complaint: power outage near the entrance.,HIGH
Complaint: routine check in the store room.,LOW
Reporting tiny crack in the paint from by the stairs.,LOW
Please attend to lightbulb needs replacing in the hallway.,LOW
Need help with mold on the wall in the hallway.,MEDIUM
There is stained carpet on the third floor.,MEDIUM
We have a problem: fridge broke down in the bathroom.,HIGH
Please attend to heavy leak on the third floor.,HIGH
Reporting light not working from by the stairs.,MEDIUM
We have a problem: unsafe in the unit.,HIGH
Noticed spoilt food in the fridge in the garage.,HIGH
Noticed sewage overflowing in the laundry room.,EMERGENCY
There is gutted and dangerous in the apartment 5.,HIGH
We have a problem: leak under the sink in the unit.,MEDIUM
There is heavy leak on the third floor.,HIGH
Reporting water flooding from in the garage.,EMERGENCY
There is an issue with annual inspection in the unit.,LOW
Need help with power outage by the stairs.,HIGH
Complaint: light not working in the bathroom.,MEDIUM
fridge broke down has been going on by the stairs.,HIGH
Please attend to exposed electrical wires by the stairs.,EMERGENCY
Complaint: no power on the third floor.,HIGH
Tenant reports electrical hazard in the bathroom.,HIGH
Please attend to intruder in the building by the stairs.,HIGH
There is an issue with spoilt food in the fridge on the third floor.,HIGH
There is sewage overflowing in the balcony.,EMERGENCY
Noticed cosmetic touch up in the kitchen.,LOW
damaged has been going on near the entrance.,MEDIUM
Tenant reports damaged in the unit.,MEDIUM
Complaint: the wall is collapsing in the unit 8.,EMERGENCY
There is an issue with light not working in the unit.,MEDIUM
spoilt food in the fridge has been going on in the kitchen.,HIGH
Please attend to minor cosmetic issue in the unit.,LOW
cosmetic touch up has been going on in the unit.,LOW
Please attend to paint peeling near the entrance.,LOW
There is no power in the unit 12.,HIGH
There is gutted and dangerous in the laundry room.,HIGH
There is an issue with stained carpet near the entrance.,MEDIUM
Complaint: sparking wires in the lobby.,EMERGENCY
We have a problem: sewer backing up into by the stairs.,EMERGENCY
Reporting damaged from near the entrance.,MEDIUM
Reporting sewage overflowing from on the third floor.,EMERGENCY
There is an issue with preventative maintenance in the unit.,LOW
There is an issue with electrical hazard in the apartment 5.,HIGH
Please attend to annual inspection by the stairs.,LOW
Need help with minor cosmetic issue in the balcony.,LOW
Reporting crack in the wall from in the store room.,MEDIUM
Please attend to tiny crack in the paint by the stairs.,LOW
We have a problem: water damage to the ceiling in the unit.,HIGH
Reporting maintenance required from in the bedroom.,MEDIUM
general enquiry has been going on in the laundry room.,LOW
Reporting small leak from in the unit 12.,MEDIUM
Tenant reports leaking ceiling on the third floor.,HIGH
We have a problem: scheduled maintenance in the bathroom.,LOW
Complaint: booking an appointment on the third floor.,LOW
Reporting tiny crack in the paint from near the entrance.,LOW
Complaint: fire down the hall in the bedroom.,EMERGENCY
Please attend to not heating near the entrance.,MEDIUM
Noticed light not working in the bedroom.,MEDIUM
We have a problem: tiny crack in the paint in the laundry room.,LOW
We have a problem: smelling gas in the bathroom.,EMERGENCY
Complaint: fire down the hall by the stairs.,EMERGENCY
Noticed faulty wiring causing sparks in the unit 12.,EMERGENCY
Tenant reports no water in in the unit.,HIGH
Need help with electrical fire in the kitchen.,EMERGENCY
Noticed booking an appointment in the unit 8.,LOW
We have a problem: light not working on the third floor.,MEDIUM
water damage to the ceiling has been going on by the stairs.,HIGH
Need help with the ceiling is caving in in the lobby.,EMERGENCY
Need help with gutted and dangerous in the garage.,HIGH
Noticed security alarm triggered in the store room.,HIGH
Noticed scorched outlet in the unit 12.,EMERGENCY
There is water shut off on the third floor.,HIGH
There is an issue with shattered window in the unit.,HIGH
Noticed dripping tap in the store room.,MEDIUM
Tenant reports raw sewage by the stairs.,EMERGENCY
There is electrical danger on the third floor.,HIGH
We have a problem: sparks flying in the kitchen.,EMERGENCY
Complaint: not working near the entrance.,MEDIUM
We have a problem: noisy unit in the hallway.,MEDIUM
the ceiling is caving in has been going on in the hallway.,EMERGENCY
We have a problem: spoilt food in the fridge by the stairs.,HIGH
Please attend to electrical wires exposed in the unit.,HIGH
Please attend to power outage on the third floor.,HIGH
light not working has been going on in the bathroom.,MEDIUM
Need help with seeking a quote by the stairs.,LOW
Noticed paint peeling in the living room.,LOW
We have a problem: smoke coming from by the stairs.,EMERGENCY
There is an issue with pipe burst in the hallway.,EMERGENCY
Noticed dripping tap in the bathroom.,MEDIUM
Reporting unsafe from in the garage.,HIGH
We have a problem: fridge broke down on the third floor.,HIGH
crack in the wall has been going on in the garage.,MEDIUM
Please attend to broken window near the entrance.,HIGH
Complaint: booking an appointment by the stairs.,LOW
We have a problem: no electricity in the living room.,HIGH
Noticed slow drain in the lobby.,MEDIUM
We have a problem: damaged in the unit.,MEDIUM
There is clogged drain in the bathroom.,MEDIUM
Please attend to the wall is collapsing near the entrance.,EMERGENCY
noisy unit has been going on near the entrance.,MEDIUM
Tenant reports seeking a quote in the store room.,LOW
routine tune up has been going on in the bedroom.,LOW
annual inspection has been going on near the entrance.,LOW
There is electrical wires exposed in the unit 12.,HIGH
We have a problem: paint peeling near the entrance.,LOW
We have a problem: small leak in the bathroom.,MEDIUM
There is an issue with light not working on the third floor.,MEDIUM
Reporting exposed wiring from in the block B.,EMERGENCY
Please attend to water flooding on the third floor.,EMERGENCY
Need help with preventative maintenance in the garage.,LOW
Need help with not working near the entrance.,MEDIUM
We have a problem: scheduling a service in the unit.,LOW
Noticed cosmetic touch up in the apartment 5.,LOW
Need help with exposed electrical wires in the block A.,EMERGENCY
Noticed preventative maintenance in the garage.,LOW
Reporting not working from near the entrance.,MEDIUM
There is an issue with stained carpet by the stairs.,MEDIUM
Complaint: preventative maintenance by the stairs.,LOW
Noticed preventative maintenance in the lobby.,LOW
Reporting broken door from in the laundry room.,HIGH
Reporting cracked tile from in the apartment 5.,MEDIUM
damaged has been going on by the stairs.,MEDIUM
Please attend to tiny crack in the paint in the hallway.,LOW
Noticed annual inspection in the laundry room.,LOW
Complaint: collapsing wall in the unit 12.,EMERGENCY
collapsing wall has been going on in the living room.,EMERGENCY
Noticed sewer backing up into in the lobby.,EMERGENCY
We have a problem: cosmetic touch up in the bedroom.,LOW
We have a problem: inventory check in the kitchen.,LOW
Reporting smoke coming from from in the block B.,EMERGENCY
Noticed light not working in the block B.,MEDIUM
There is an issue with routine tune up on the third floor.,LOW
Please attend to broken lock in the unit 8.,HIGH
Need help with sparks flying in the apartment 5.,EMERGENCY
There is seeking a quote near the entrance.,LOW
Noticed electrical danger in the balcony.,HIGH
There is an issue with security alarm triggered in the balcony.,HIGH
We have a problem: not heating by the stairs.,MEDIUM
Complaint: electrical fire in the hallway.,EMERGENCY
Tenant reports water shut off in the unit.,HIGH
Tenant reports lightbulb needs replacing in the unit 12.,LOW
There is slow drain in the kitchen.,MEDIUM
gutted and dangerous has been going on near the entrance.,HIGH
We have a problem: stained carpet on the third floor.,MEDIUM
There is scheduling a service on the third floor.,LOW
Reporting leaking ceiling from by the stairs.,HIGH
stained carpet has been going on in the kitchen.,MEDIUM
There is an issue with not heating in the store room.,MEDIUM
There is an issue with noisy unit in the store room.,MEDIUM
We have a problem: routine check in the bedroom.,LOW
Reporting water shut off from in the balcony.,HIGH
structural collapse has been going on in the unit.,EMERGENCY
Need help with leak under the sink in the unit.,MEDIUM
Please attend to annual inspection in the unit.,LOW
Complaint: unsafe in the unit 12.,HIGH
Reporting annual inspection from on the third floor.,LOW
intruder in the building has been going on by the stairs.,HIGH
Need help with unsafe wiring by the stairs.,HIGH
We have a problem: electrical danger in the unit 8.,HIGH
Tenant reports spoilt food in the fridge in the block A.,HIGH
There is spoilt food in the fridge by the stairs.,HIGH
There is an issue with inventory check in the unit.,LOW
Please attend to leak under the sink by the stairs.,MEDIUM
Please attend to electrical spark in the store room.,EMERGENCY
toilet clogged has been going on on the third floor.,MEDIUM
There is thermostat not working in the living room.,MEDIUM
Please attend to smoke coming from in the kitchen.,EMERGENCY
crack in the wall has been going on in the unit 8.,MEDIUM
Noticed smoke in in the hallway.,EMERGENCY
Need help with noisy unit near the entrance.,MEDIUM
We have a problem: electrical hazard in the apartment 5.,HIGH
Need help with thermostat not working in the unit 8.,MEDIUM
Tenant reports slow drain on the third floor.,MEDIUM
There is an issue with water flooding in the unit.,EMERGENCY
Need help with major leak in the store room.,HIGH
sparking wires has been going on in the living room.,EMERGENCY
Tenant reports electrical spark by the stairs.,EMERGENCY
Please attend to water shut off near the entrance.,HIGH
There is an issue with pipe burst in the bathroom.,EMERGENCY
Noticed heavy leak in the lobby.,HIGH
Reporting no electricity from in the hallway.,HIGH
Reporting live wire from on the third floor.,EMERGENCY
Noticed exposed electrical wires in the apartment 5.,EMERGENCY
Need help with routine check on the third floor.,LOW
thermostat not working has been going on in the block A.,MEDIUM
Noticed annual inspection in the block A.,LOW
Noticed broken lock in the unit 12.,HIGH
We have a problem: the unit is burning in the balcony.,EMERGENCY
Tenant reports the ceiling is leaking on the third floor.,HIGH
Please attend to unsafe in the bedroom.,HIGH
Reporting booking an appointment from in the hallway.,LOW
Please attend to lightbulb needs replacing in the unit.,LOW
light not working has been going on on the third floor.,MEDIUM
Please attend to electrical danger by the stairs.,HIGH
We have a problem: major leak near the entrance.,HIGH
Tenant reports booking an appointment in the hallway.,LOW
Complaint: the wall is collapsing in the kitchen.,EMERGENCY
Please attend to tiny crack in the paint in the laundry room.,LOW
There is an issue with exposed electrical wires in the bedroom.,EMERGENCY
Complaint: inventory check in the apartment 5.,LOW
scorched outlet has been going on on the third floor.,EMERGENCY
Reporting stained carpet from on the third floor.,MEDIUM
Noticed inventory check in the hallway.,LOW
Complaint: routine check near the entrance.,LOW
routine tune up has been going on in the balcony.,LOW
Complaint: booking an appointment in the unit.,LOW
We have a problem: tiny crack in the paint in the balcony.,LOW
There is loose live wires in the lobby.,EMERGENCY
Noticed the ceiling is leaking in the unit 8.,HIGH
Please attend to unsafe in the lobby.,HIGH
cracked tile has been going on by the stairs.,MEDIUM
There is mold on the wall in the block A.,MEDIUM
inefficient heating has been going on in the laundry room.,MEDIUM
There is leaking ceiling in the unit.,HIGH
There is an issue with the ceiling is caving in in the hallway.,EMERGENCY
There is cosmetic touch up in the unit.,LOW
power outage has been going on in the bedroom.,HIGH
Need help with tiny crack in the paint near the entrance.,LOW
Noticed thermostat not working in the bathroom.,MEDIUM
Tenant reports burning smell in the store room.,EMERGENCY
Noticed water shut off in the hallway.,HIGH
Tenant reports paint peeling in the kitchen.,LOW
Tenant reports light not working in the store room.,MEDIUM
Please attend to stained carpet by the stairs.,MEDIUM
Please attend to preventative maintenance in the laundry room.,LOW
Please attend to security alarm triggered in the bedroom.,HIGH
Tenant reports routine check in the unit 8.,LOW
Please attend to seeking a quote in the hallway.,LOW
There is the unit is burning in the unit.,EMERGENCY
inventory check has been going on by the stairs.,LOW
Need help with water shut off near the entrance.,HIGH
Need help with flickering light in the unit.,MEDIUM
Please attend to structural collapse near the entrance.,EMERGENCY
Reporting unsafe from near the entrance.,HIGH
Noticed electrical danger in the block B.,HIGH
We have a problem: leak under the sink in the living room.,MEDIUM
There is an issue with cosmetic touch up in the block A.,LOW
We have a problem: unsafe by the stairs.,HIGH
Noticed scheduling a service in the kitchen.,LOW
Please attend to water flooding in the unit.,EMERGENCY
We have a problem: scheduled maintenance in the garage.,LOW
There is lightbulb needs replacing by the stairs.,LOW
Reporting routine check from by the stairs.,LOW
Noticed leak under the sink in the lobby.,MEDIUM
Need help with water stain on the ceiling in the hallway.,MEDIUM
slow drain has been going on in the unit.,MEDIUM
There is not cooling in the unit.,MEDIUM
Tenant reports maintenance required by the stairs.,MEDIUM
Need help with routine tune up by the stairs.,LOW
flickering light has been going on in the bedroom.,MEDIUM
Complaint: scheduled maintenance near the entrance.,LOW
Please attend to not working by the stairs.,MEDIUM
We have a problem: no water in on the third floor.,HIGH
We have a problem: cracked tile in the unit.,MEDIUM
We have a problem: annual inspection in the unit.,LOW
Reporting annual inspection from in the unit.,LOW
severe leak has been going on near the entrance.,HIGH
Reporting stained carpet from by the stairs.,MEDIUM
We have a problem: general enquiry in the bedroom.,LOW
There is small leak near the entrance.,MEDIUM
We have a problem: maintenance required in the living room.,MEDIUM
We have a problem: routine tune up by the stairs.,LOW
There is an issue with small leak on the third floor.,MEDIUM
We have a problem: mold on the wall in the kitchen.,MEDIUM
Need help with entire unit without power in the garage.,HIGH
Complaint: gas smell in the block A.,EMERGENCY
Noticed toilet clogged in the laundry room.,MEDIUM
Need help with crack in the wall in the hallway.,MEDIUM
Reporting smelling gas from in the balcony.,EMERGENCY
There is an issue with minor cosmetic issue in the unit 8.,LOW
There is an issue with thermostat not working in the store room.,MEDIUM
minor cosmetic issue has been going on in the hallway.,LOW
We have a problem: toilet clogged by the stairs.,MEDIUM
Please attend to seeking a quote in the unit.,LOW
Complaint: small leak in the unit.,MEDIUM
Need help with ceiling collapse near the entrance.,EMERGENCY
There is an issue with raw sewage in the lobby.,EMERGENCY
There is cosmetic touch up in the unit.,LOW
Please attend to light not working in the kitchen.,MEDIUM
Tenant reports noisy unit on the third floor.,MEDIUM
Please attend to spoilt food in the fridge in the unit.,HIGH
We have a problem: annual inspection by the stairs.,LOW
Tenant reports electrical hazard in the unit 12.,HIGH
maintenance required has been going on in the garage.,MEDIUM
We have a problem: stained carpet in the unit.,MEDIUM
Reporting power outage from in the bathroom.,HIGH
There is damaged near the entrance.,MEDIUM
mold on the wall has been going on on the third floor.,MEDIUM
Please attend to general enquiry in the block B.,LOW
Please attend to unsafe wiring by the stairs.,HIGH
Reporting general enquiry from in the unit 8.,LOW
We have a problem: crack in the wall in the garage.,MEDIUM
Need help with shattered window in the balcony.,HIGH
There is heavy leak in the kitchen.,HIGH
stained carpet has been going on in the garage.,MEDIUM
Please attend to no electricity in the hallway.,HIGH
Tenant reports gas leak in the laundry room.,EMERGENCY
There is exposed wires on the third floor.,EMERGENCY
Noticed ceiling collapse in the garage.,EMERGENCY
Please attend to noisy unit in the block B.,MEDIUM
There is electrical wires exposed in the balcony.,HIGH
annual inspection has been going on in the unit 12.,LOW
Noticed water stain on the ceiling in the garage.,MEDIUM
Reporting smoke coming from from by the stairs.,EMERGENCY
There is the wall is collapsing in the apartment 5.,EMERGENCY
Tenant reports dangerous in the unit 12.,HIGH
Complaint: broken lock by the stairs.,HIGH
Noticed water stain on the ceiling in the balcony.,MEDIUM
Need help with electrical wires exposed in the block A.,HIGH
Reporting broken window from in the unit.,HIGH
smelling gas has been going on in the bathroom.,EMERGENCY
Tenant reports no water in in the garage.,HIGH
There is electrical fire in the apartment 5.,EMERGENCY
Tenant reports heavy leak in the unit.,HIGH
Please attend to electrical wires exposed in the store room.,HIGH
not heating has been going on in the store room.,MEDIUM
maintenance required has been going on on the third floor.,MEDIUM
There is an issue with electrical wires exposed in the store room.,HIGH
Complaint: heavy leak by the stairs.,HIGH
ceiling collapse has been going on in the unit 8.,EMERGENCY
There is sewage overflowing in the unit 12.,EMERGENCY
Need help with lightbulb needs replacing in the unit 12.,LOW
Noticed water damage to the ceiling in the store room.,HIGH
spoilt food in the fridge has been going on in the bathroom.,HIGH
There is an issue with no electricity in the hallway.,HIGH
There is an issue with noisy unit near the entrance.,MEDIUM
There is stained carpet in the unit 8.,MEDIUM
Need help with no power in the unit.,HIGH
Noticed broken door in the block A.,HIGH
Reporting fire down the hall from in the block B.,EMERGENCY
We have a problem: cracked tile in the block B.,MEDIUM
There is an issue with tiny crack in the paint on the third floor.,LOW
Tenant reports shattered window on the third floor.,HIGH
Complaint: annual inspection by the stairs.,LOW
Reporting leak under the sink from in the bedroom.,MEDIUM
sparks flying has been going on in the hallway.,EMERGENCY
There is no water in in the unit.,HIGH
There is an issue with cosmetic touch up on the third floor.,LOW
There is no electricity in the garage.,HIGH
We have a problem: cosmetic touch up in the bedroom.,LOW
Reporting stained carpet from in the unit 8.,MEDIUM
Reporting tiny crack in the paint from near the entrance.,LOW
We have a problem: inefficient heating in the unit.,MEDIUM
Need help with cosmetic touch up in the unit.,LOW
There is scheduling a service by the stairs.,LOW
There is an issue with gutted and dangerous in the unit.,HIGH
Please attend to no power in the garage.,HIGH
Complaint: inefficient heating near the entrance.,MEDIUM
We have a problem: heavy leak in the apartment 5.,HIGH
We have a problem: no electricity in the block B.,HIGH
Noticed small leak in the living room.,MEDIUM
Noticed major leak in the apartment 5.,HIGH
Tenant reports severe leak in the lobby.,HIGH
Need help with crack in the wall in the hallway.,MEDIUM
There is ceiling collapse in the block A.,EMERGENCY
We have a problem: cracked tile in the unit 12.,MEDIUM
Please attend to broken door by the stairs.,HIGH
Noticed clogged drain in the store room.,MEDIUM
Complaint: exposed wiring near the entrance.,EMERGENCY
There is collapsing wall in the kitchen.,EMERGENCY
Tenant reports small leak in the garage.,MEDIUM
Complaint: flickering light on the third floor.,MEDIUM
There is an issue with not cooling in the garage.,MEDIUM
Need help with no power by the stairs.,HIGH
Need help with leaking ceiling in the laundry room.,HIGH
There is slow drain in the unit.,MEDIUM
Please attend to dripping tap on the third floor.,MEDIUM
Reporting sewage overflowing from in the store room.,EMERGENCY
Reporting booking an appointment from near the entrance.,LOW
Noticed gas leak in the balcony.,EMERGENCY
We have a problem: raw sewage in the block B.,EMERGENCY
Noticed not heating in the unit 12.,MEDIUM
We have a problem: the wall is collapsing in the kitchen.,EMERGENCY
Tenant reports inventory check in the unit.,LOW
Need help with security alarm triggered on the third floor.,HIGH
Reporting pipe burst from by the stairs.,EMERGENCY
Need help with general enquiry in the lobby.,LOW
Please attend to burst pipe in the block B.,EMERGENCY
Tenant reports faulty wiring causing sparks by the stairs.,EMERGENCY
There is an issue with stained carpet in the laundry room.,MEDIUM
Reporting electrical spark from by the stairs.,EMERGENCY
There is an issue with light not working in the unit 8.,MEDIUM
There is stained carpet on the third floor.,MEDIUM
There is cracked tile near the entrance.,MEDIUM
Reporting spoilt food in the fridge from near the entrance.,HIGH
Complaint: preventative maintenance near the entrance.,LOW
Reporting inefficient heating from in the block B.,MEDIUM
There is an issue with minor cosmetic issue in the kitchen.,LOW
Please attend to booking an appointment in the living room.,LOW
Complaint: maintenance required in the bedroom.,MEDIUM
Reporting inventory check from in the bedroom.,LOW
Noticed broken lock in the block A.,HIGH
Need help with flooding in in the unit 8.,EMERGENCY
Please attend to noisy unit in the unit.,MEDIUM
We have a problem: toilet clogged in the unit.,MEDIUM
There is an issue with inefficient heating on the third floor.,MEDIUM
paint peeling has been going on in the laundry room.,LOW
Need help with fridge broke down near the entrance.,HIGH
There is an issue with smoke in in the living room.,EMERGENCY
Tenant reports structural collapse in the unit 8.,EMERGENCY
Please attend to annual inspection in the hallway.,LOW
Tenant reports cosmetic touch up near the entrance.,LOW
Tenant reports major leak by the stairs.,HIGH
We have a problem: minor cosmetic issue in the store room.,LOW
There is routine tune up on the third floor.,LOW
Reporting gas leak from in the unit.,EMERGENCY
There is intruder in the building in the unit 12.,HIGH
Noticed tiny crack in the paint in the store room.,LOW
There is the ceiling is leaking in the bathroom.,HIGH
Tenant reports smoke coming from in the store room.,EMERGENCY
Need help with the ceiling is caving in in the living room.,EMERGENCY
Need help with gutted and dangerous in the lobby.,HIGH
Noticed routine check in the living room.,LOW
Please attend to booking an appointment near the entrance.,LOW
Please attend to dangerous on the third floor.,HIGH
not working has been going on in the unit.,MEDIUM
Tenant reports sewer backing up into in the balcony.,EMERGENCY
Reporting electrical danger from in the bedroom.,HIGH
Complaint: booking an appointment in the unit.,LOW
Reporting flickering light from by the stairs.,MEDIUM
There is sewer backing up into by the stairs.,EMERGENCY
Noticed water stain on the ceiling in the bedroom.,MEDIUM
Complaint: water shut off by the stairs.,HIGH
There is an issue with inventory check in the store room.,LOW
Need help with pipe burst in the lobby.,EMERGENCY
Complaint: smoke coming from on the third floor.,EMERGENCY
Tenant reports electrical hazard near the entrance.,HIGH
Reporting inventory check from near the entrance.,LOW
Complaint: major leak in the unit.,HIGH
Tenant reports crack in the wall near the entrance.,MEDIUM
Reporting scheduled maintenance from on the third floor.,LOW
We have a problem: electrical danger in the lobby.,HIGH
There is stained carpet in the unit.,MEDIUM
Need help with booking an appointment in the unit.,LOW
Complaint: loose live wires in the block B.,EMERGENCY
paint peeling has been going on in the bathroom.,LOW
Please attend to scheduling a service near the entrance.,LOW
Noticed not cooling in the unit 12.,MEDIUM
Need help with cosmetic touch up on the third floor.,LOW
Noticed live wire in the living room.,EMERGENCY
We have a problem: unsafe wiring in the apartment 5.,HIGH
Complaint: water flooding in the block A.,EMERGENCY
unsafe wiring has been going on in the unit 12.,HIGH
Tenant reports dripping tap near the entrance.,MEDIUM
Please attend to mold on the wall on the third floor.,MEDIUM
Please attend to maintenance required in the block A.,MEDIUM
There is no water in in the block A.,HIGH
There is an issue with cracked tile in the hallway.,MEDIUM
Complaint: toilet clogged in the unit.,MEDIUM
There is noisy unit in the unit 8.,MEDIUM
Reporting paint peeling from in the unit.,LOW
Need help with light not working in the block A.,MEDIUM
Complaint: sparking wires in the unit.,EMERGENCY
clogged drain has been going on in the bathroom.,MEDIUM
We have a problem: routine tune up by the stairs.,LOW
Complaint: cosmetic touch up in the unit.,LOW
Tenant reports live wire near the entrance.,EMERGENCY
Tenant reports faulty wiring causing sparks in the block B.,EMERGENCY
Reporting sparking wires from on the third floor.,EMERGENCY
There is an issue with routine check in the apartment 5.,LOW
Please attend to water stain on the ceiling near the entrance.,MEDIUM
slow drain has been going on in the lobby.,MEDIUM
There is an issue with shock from the outlet in the unit.,HIGH
Reporting crack in the wall from near the entrance.,MEDIUM
Tenant reports light not working in the balcony.,MEDIUM
There is annual inspection in the unit.,LOW
Complaint: not heating on the third floor.,MEDIUM
There is an issue with tiny crack in the paint in the bedroom.,LOW
There is an issue with thermostat not working in the balcony.,MEDIUM
We have a problem: leak under the sink near the entrance.,MEDIUM
Complaint: seeking a quote in the unit.,LOW
Tenant reports smelling gas in the bathroom.,EMERGENCY
unsafe has been going on on the third floor.,HIGH
There is an issue with gas leak in the garage.,EMERGENCY
There is not working in the unit.,MEDIUM
Please attend to shock from the outlet in the unit 8.,HIGH
entire unit without power has been going on near the entrance.,HIGH
Complaint: scheduled maintenance on the third floor.,LOW
Complaint: toilet clogged in the laundry room.,MEDIUM
Noticed toilet clogged in the kitchen.,MEDIUM
Tenant reports broken door near the entrance.,HIGH
Complaint: water stain on the ceiling in the living room.,MEDIUM
Need help with sparking wires in the unit 8.,EMERGENCY
noisy unit has been going on on the third floor.,MEDIUM
Reporting no power from by the stairs.,HIGH
Reporting scheduled maintenance from near the entrance.,LOW
carbon monoxide detector going off has been going on on the third floor.,EMERGENCY
Please attend to leaking ceiling by the stairs.,HIGH
Noticed water shut off in the bedroom.,HIGH
inefficient heating has been going on in the unit 8.,MEDIUM
We have a problem: lightbulb needs replacing in the unit.,LOW
no electricity has been going on in the lobby.,HIGH
Reporting preventative maintenance from near the entrance.,LOW
Need help with gutted and dangerous in the block B.,HIGH
Noticed routine tune up in the kitchen.,LOW
Please attend to mold on the wall by the stairs.,MEDIUM
Need help with heavy leak in the unit.,HIGH
There is an issue with the wall is collapsing in the unit.,EMERGENCY
Reporting general enquiry from in the bathroom.,LOW
Please attend to gas smell in the garage.,EMERGENCY
Reporting crack in the wall from in the kitchen.,MEDIUM
Need help with crack in the wall in the bedroom.,MEDIUM
Reporting not heating from in the hallway.,MEDIUM
slow drain has been going on by the stairs.,MEDIUM
There is shock from the outlet in the lobby.,HIGH
security alarm triggered has been going on in the unit.,HIGH
There is toilet clogged in the balcony.,MEDIUM
There is cosmetic touch up in the block A.,LOW
Need help with thermostat not working in the unit 8.,MEDIUM
There is an issue with maintenance required on the third floor.,MEDIUM
Complaint: shock from the outlet in the apartment 5.,HIGH
Please attend to power outage in the living room.,HIGH
There is an issue with scorched outlet in the living room.,EMERGENCY
Please attend to sewage overflowing in the bedroom.,EMERGENCY
There is an issue with routine tune up in the garage.,LOW
There is flickering light in the unit.,MEDIUM
Noticed no water in in the unit 12.,HIGH
Complaint: water shut off in the block A.,HIGH
Reporting cracked tile from in the bedroom.,MEDIUM
There is exposed electrical wires in the laundry room.,EMERGENCY
Please attend to scheduling a service on the third floor.,LOW
Tenant reports crack in the wall in the store room.,MEDIUM
Complaint: cosmetic touch up in the store room.,LOW
cosmetic touch up has been going on by the stairs.,LOW
Please attend to inventory check in the kitchen.,LOW
There is clogged drain in the garage.,MEDIUM
We have a problem: annual inspection in the hallway.,LOW
Complaint: heavy leak in the unit.,HIGH
We have a problem: cracked tile by the stairs.,MEDIUM
There is preventative maintenance on the third floor.,LOW
flickering light has been going on in the kitchen.,MEDIUM
Tenant reports cosmetic touch up in the kitchen.,LOW
Please attend to routine check by the stairs.,LOW
We have a problem: scheduled maintenance in the unit.,LOW
Please attend to shattered window in the unit.,HIGH
